id,course_id,course_name,course_dept_id,credits,lecture_hours,practical_hours,tutorial_hours,regulation,course_type
70,CS23231,Data Structures,Artificial Intelligence and Data Science,5,3,4,0,2023.0,LOT
71,HS23221/HS23222,Technical Communication II/ English for Professional Competence,Artificial Intelligence and Data Science,1,0,2,0,2023.0,Laboratory
72,GE23121,Engineering Practices – Civil and Mechanical,Artificial Intelligence and Data Science,1,0,2,0,2023.0,Laboratory
73,CS23221,Python Programming Lab,Artificial Intelligence and Data Science,2,0,4,0,2023.0,Laboratory
74,MA23313,Discrete Mathematics for AI,Artificial Intelligence and Data Science,4,3,0,1,2023.0,Theory
75,AI23331,Fundamentals of Machine Learning,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
76,CS23331,Design and Analysis of Algorithms,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
77,CS23332,Database Management Systems,Artificial Intelligence and Data Science,5,3,4,0,2023.0,LOT
78,CS23333,Object Oriented Programming Using JAVA,Artificial Intelligence and Data Science,4,1,6,0,2023.0,LOT
79,MC23112,Environmental Science and Engineering,Artificial Intelligence and Data Science,0,3,0,0,2023.0,LOT
80,OE - 1,Open Elective - I,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Open Elective
81,MA23434,Optimization Techniques for AI,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
82,AI23431,Web Technology and Mobile Application,Artificial Intelligence and Data Science,3,1,4,0,2023.0,LOT
83,AD23431,Statistical Analysis and Computing,Artificial Intelligence and Data Science,3,2,2,0,2023.0,LOT
84,CS23431,Operating Systems,Artificial Intelligence and Data Science,5,3,4,0,2023.0,LOT
85,CS23432,Software Construction,Artificial Intelligence and Data Science,4,3,2,0,2023.0,Laboratory
86,GE23421,Soft Skills – I,Artificial Intelligence and Data Science,1,0,2,0,2023.0,Laboratory
87,ADPE1,Professional Elective – I,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Professional Elective
88,ADPE2,Professional Elective – II,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Professional Elective
89,BA23512,Fundamentals of Accounting,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Theory
90,AD23531,Architecture for Management of Large Data Sets,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
91,AD23532,Framework for Data and Visual Analytics,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
92,CS23532,Computer Networks,Artificial Intelligence and Data Science,5,3,4,0,2023.0,LOT
93,AD23521,Data Science Laboratory,Artificial Intelligence and Data Science,2,0,4,0,2023.0,Laboratory
94,GE23521,Soft Skills – II,Artificial Intelligence and Data Science,1,0,2,0,2023.0,Laboratory
95,ADPE3,Professional Elective – III,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Professional Elective
96,OE - 2,Open Elective - II,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Open Elective
97,AD23631,Data Privacy and Security,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
98,AD23632,Deep Neural Networks,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
99,AD23633,Design Thinking for Innovation in Data Science,Artificial Intelligence and Data Science,2,1,2,0,2023.0,LOT
100,GE23622,Problem Solving Techniques,Artificial Intelligence and Data Science,1,0,2,0,2023.0,Others
101,ADPE4,Professional Elective – IV,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Professional Elective
102,AI23712,Reinforcement Learning,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Theory
103,IT23731,Cloud and Big data Architecture,Artificial Intelligence and Data Science,4,3,2,0,2023.0,LOT
104,AD23521,Toolkit for Data Science,Artificial Intelligence and Data Science,1,0,2,0,2023.0,Laboratory
105,AD23722,Project Work (Phase - I),Artificial Intelligence and Data Science,4,0,8,0,2023.0,Laboratory
106,ADPE5,Professional Elective – V,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Professional Elective
107,ADPE6,Professional Elective – VI,Artificial Intelligence and Data Science,3,3,0,0,2023.0,Professional Elective
108,AD23821,Project Work (Phase - II),Artificial Intelligence and Data Science,6,0,12,0,2023.0,Laboratory
109,HS23111,Technical Communication -I,Artificial Intelligence and Machine Learning,2,2,0,0,2023.0,Theory
110,MA23116,Mathematical Foundations for AI,Artificial Intelligence and Machine Learning,4,3,0,1,2023.0,Theory
111,GE23117,தமிழர் மரபு /Heritage of Tamils,Artificial Intelligence and Machine Learning,1,1,0,0,2023.0,Theory
112,PH23132,Physics for Information Science,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
113,GE23131,Programming using C,Artificial Intelligence and Machine Learning,4,1,6,0,2023.0,LOT
114,EE23133,Basic Electrical and Electronics Engineering,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
115,GE23122,Engineering Practices – Electrical and Electronics,Artificial Intelligence and Machine Learning,1,0,2,0,2023.0,Laboratory
116,MC23111,Indian Constitution and Freedom Movement,Artificial Intelligence and Machine Learning,0,3,0,0,2023.0,Theory
117,MA23214,Probability and Inferential Statistics,Artificial Intelligence and Machine Learning,4,3,0,1,2023.0,Theory
118,GE23111,Engineering Graphics,Artificial Intelligence and Machine Learning,4,2,0,2,2023.0,Theory
119,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Artificial Intelligence and Machine Learning,1,1,0,0,2023.0,Theory
120,IT23231,Digital Logic and Computer Architecture,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
121,AI23231,Principles of Artificial Intelligence,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
122,CS23231,Data Structures,Artificial Intelligence and Machine Learning,5,3,4,0,2023.0,LOT
123,HS23222/HS23223,Technical Communication II / English for Professional Competence,Artificial Intelligence and Machine Learning,1,0,2,0,2023.0,Theory
124,GE23121,Engineering Practices – Civil and Mechanical,Artificial Intelligence and Machine Learning,1,0,2,0,2023.0,Laboratory
125,CS23221,Python Programming Lab,Artificial Intelligence and Machine Learning,2,0,4,0,2023.0,Laboratory
126,MA23313,Discrete Mathematics for AI,Artificial Intelligence and Machine Learning,4,3,0,1,2023.0,Theory
127,BA23512,Fundamentals of Accounting,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Theory
128,AI23331,Fundamentals of Machine Learning,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
129,CS23331,Design and Analysis of Algorithms,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
130,CS23332,Database Management Systems,Artificial Intelligence and Machine Learning,5,3,4,0,2023.0,LOT
131,CS23333,Object Oriented Programming Using JAVA,Artificial Intelligence and Machine Learning,4,1,6,0,2023.0,LOT
132,MC23112,Environmental Science and Engineering,Artificial Intelligence and Machine Learning,0,3,0,0,2023.0,Theory
133,OE - 1,Open Elective - I,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Open Elective
134,MA23434,Optimization Techniques for AI,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
135,AI23431,Web Technology and Mobile Application,Artificial Intelligence and Machine Learning,3,1,4,0,2023.0,LOT
136,CS23431,Operating Systems,Artificial Intelligence and Machine Learning,5,3,4,0,2023.0,LOT
137,CS23432,Software Construction,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
138,GE23421,Soft Skills – I,Artificial Intelligence and Machine Learning,1,0,2,0,2023.0,Laboratory
139,AIPE1,Professional Elective – I,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Professional Elective
140,AIPE2,Professional Elective – II,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Professional Elective
141,AI23531,Deep Learning,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
142,AD23532,Framework for Data and Visual Analytics,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
143,CS23532,Computer Networks,Artificial Intelligence and Machine Learning,5,3,4,0,2023.0,LOT
144,AI23521,Build and Deploy Machine Learning Applications,Artificial Intelligence and Machine Learning,1,0,2,0,2023.0,Laboratory
145,AD23521,Data Science Laboratory,Artificial Intelligence and Machine Learning,2,0,4,0,2023.0,Laboratory
146,GE23521,Soft Skills – II,Artificial Intelligence and Machine Learning,1,0,2,0,2023.0,Laboratory
147,AIPE3,Professional Elective – III,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Professional Elective
148,OE - 2,Open Elective - II,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Open Elective
149,AI23611,Secure Systems Engineering,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Theory
150,AI23631,Predictive and Prescriptive Analytics,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
151,AI23632,Foundations of Natural Language Processing,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
152,AI23633,Design Thinking for Innovation in Machine Learning,Artificial Intelligence and Machine Learning,2,1,2,0,2023.0,LOT
153,GE23622,Problem Solving Techniques,Artificial Intelligence and Machine Learning,1,0,2,0,2023.0,Laboratory
154,AIPE4,Professional Elective – IV,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Professional Elective
155,AI23711,Social and Ethical Issues in AI,Artificial Intelligence and Machine Learning,1,1,0,0,2023.0,Theory
156,AI23712,Reinforcement Learning,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Theory
157,IT23731,Cloud and Big data Architecture,Artificial Intelligence and Machine Learning,4,3,2,0,2023.0,LOT
158,AI23721,Project Work (Phase - I),Artificial Intelligence and Machine Learning,4,0,8,0,2023.0,Laboratory
159,AIPE5,Professional Elective – V,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Professional Elective
160,AIPE6,Professional Elective – VI,Artificial Intelligence and Machine Learning,3,3,0,0,2023.0,Professional Elective
161,AI23821,Project Work (Phase - II),Artificial Intelligence and Machine Learning,6,0,12,0,2023.0,Laboratory
162,HS23111,Technical Communication -I,Automobile Engineering,2,2,0,0,2023.0,Theory
163,MA23112,Algebra and Calculus,Automobile Engineering,4,3,0,1,2023.0,Theory
164,GE23111,Engineering Graphics,Automobile Engineering,4,2,4,0,2023.0,Theory
165,AT23111,Production Technology - I,Automobile Engineering,3,3,0,0,2023.0,Theory
166,GE23117,தமிழர் மரபு /Heritage of Tamils,Automobile Engineering,1,1,0,0,2023.0,Theory
167,PH23131,Physics of Materials,Automobile Engineering,4,3,2,0,2023.0,LOT
168,GE23121,Engineering Practices – Civil and Mechanical,Automobile Engineering,1,0,2,0,2023.0,Laboratory
169,MC23112,Environmental Science and Engineering,Automobile Engineering,0,3,0,0,2023.0,Theory
170,MA23212,Differential Equations and Complex Variables,Automobile Engineering,4,3,0,1,2023.0,Theory
171,GE23211,Engineering Mechanics,Automobile Engineering,3,2,0,1,2023.0,Theory
172,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Automobile Engineering,1,1,0,0,2023.0,Theory
173,CY23223,Engineering Chemistry ,Automobile Engineering,4,3,2,0,2023.0,LOT
174,EE23133,Basic Electrical and Electronics Engineering,Automobile Engineering,4,3,2,0,2023.0,LOT
175,GE23231,Programming Using Python,Automobile Engineering,3,1,4,0,2023.0,LOT
176,HS23221/HS23222,Technical Communication II/ English for Professional Competence,Automobile Engineering,1,0,2,0,2023.0,Laboratory
177,GE23122,Engineering Practices – Electrical and Electronics,Automobile Engineering,1,0,2,0,2023.0,Laboratory
178,MC23111,Indian Constitution and Freedom Movement,Automobile Engineering,0,3,0,0,2023.0,Theory
179,MA23331,Transforms and Statistics,Automobile Engineering,4,3,2,0,2023.0,LOT
180,AT23331,Automotive Engines,Automobile Engineering,4,3,2,0,2023.0,LOT
181,AT23332,Applied Thermodynamics,Automobile Engineering,4,2,2,1,2023.0,LOT
182,AT23333,Strength of Materials for Automobile Engineers,Automobile Engineering,4,2,2,1,2023.0,LOT
183,AT23334,Production Technology - II,Automobile Engineering,4,3,2,0,2023.0,LOT
184,AT23321,Computer Aided Machine Drawing Laboratory,Automobile Engineering,2,0,4,0,2023.0,Laboratory
185,AT23411,Electric and Hybrid Vehicles - I,Automobile Engineering,3,3,0,0,2023.0,Theory
186,AT23412,Engineering Materials and Metallurgy,Automobile Engineering,3,3,0,0,2023.0,Theory
187,AT23431,Automotive Drive Line and Chassis,Automobile Engineering,4,3,2,0,2023.0,LOT
188,AT23432,Fluid Mechanics and Machinery for Automobile Engineers,Automobile Engineering,4,2,2,1,2023.0,LOT
189,AT23433,Theory of Machines,Automobile Engineering,4,2,2,1,2023.0,LOT
190,CS23422,Python Programming for Machine Learning,Automobile Engineering,2,0,4,0,2023.0,LOT
191,GE23327,Soft Skills – I,Automobile Engineering,1,0,2,0,2023.0,Laboratory
192,AT23511,Machine Design,Automobile Engineering,3,2,0,1,2023.0,Theory
193,GE23311,Fundamentals of Management for Engineers,Automobile Engineering,3,3,0,0,2023.0,Theory
194,ATPE1,Professional Elective – I,Automobile Engineering,3,3,0,0,2023.0,Professional Elective
195,OE - 1,Open Elective - I,Automobile Engineering,3,3,0,0,2023.0,Open Elective
196,AT23531,Automotive Electrical and Electronics,Automobile Engineering,4,3,2,0,2023.0,LOT
197,AT23532,Electric and Hybrid Vehicles - II,Automobile Engineering,4,3,2,0,2023.0,LOT
198,AT23521,Two and Three wheelers Laboratory,Automobile Engineering,1,0,2,0,2023.0,Laboratory
199,AT23522,Computer Aided Vehicle Design Data Characteristics Laboratory,Automobile Engineering,1,0,2,0,2023.0,Laboratory
200,GE23427,Soft Skills – II,Automobile Engineering,1,0,2,0,2023.0,Laboratory
201,ATPE2,Professional Elective – II,Automobile Engineering,3,3,0,0,2023.0,Professional Elective
202,OE - 2,Open Elective - II,Automobile Engineering,3,3,0,0,2023.0,Open Elective
203,AT23631,Automotive System Design,Automobile Engineering,4,2,2,1,2023.0,LOT
204,AT23632,Vehicle Dynamics,Automobile Engineering,4,2,2,1,2023.0,LOT
205,AT23633,Automotive Fuels and Lubricants,Automobile Engineering,4,3,2,0,2023.0,LOT
206,GE23627,Problem Solving Techniques,Automobile Engineering,1,0,2,0,2023.0,Others
207,AT23621,Design Thinking and Innovation for Automobile Engineers,Automobile Engineering,2,0,4,0,2023.0,Laboratory
208,AT23711,Automotive Pollution and Control,Automobile Engineering,3,3,0,0,2023.0,Theory
209,AT23712,Intelligent Vehicle System,Automobile Engineering,3,3,0,0,2023.0,Theory
210,AT23713,Automotive Safety,Automobile Engineering,3,3,0,0,2023.0,Theory
211,ATPE4,Professional Elective – IV,Automobile Engineering,3,3,0,0,2023.0,Professional Elective
212,AT23721,AI and ML for Automobile Engineers,Automobile Engineering,2,0,4,0,2023.0,LOT
213,AT23722,Vehicle Maintenance Laboratory,Automobile Engineering,1,0,2,0,2023.0,Laboratory
214,AT23723,Computer Aided Analysis laboratory,Automobile Engineering,1,0,2,0,2023.0,Laboratory
215,AT237X,Industrial Training,Automobile Engineering,1,0,2,0,2023.0,Others
216,ATPE4,Professional Elective – IV,Automobile Engineering,3,3,0,0,2023.0,Professional Elective
217,ATPE5,Professional Elective – V,Automobile Engineering,3,3,0,0,2023.0,Professional Elective
218,AT23821,Project Work,Automobile Engineering,10,0,20,0,2023.0,Laboratory
219,HS23111,Technical Communication -I,Biomedical Engineering,2,2,0,0,2023.0,Theory
220,MA23111,Linear Algebra and Calculus,Biomedical Engineering,4,3,0,1,2023.0,Theory
221,GE23111,Engineering Graphics,Biomedical Engineering,4,2,0,2,2023.0,Theory
222,GE23117,தமிழர் மரபு /Heritage of Tamils,Biomedical Engineering,1,1,0,0,2023.0,Theory
223,MC23112,Environmental Science and Engineering,Biomedical Engineering,0,3,0,0,2023.0,Theory
224,CY23131,Chemistry For Electronics Engineering,Biomedical Engineering,4,3,2,0,2023.0,LOT
225,GE23121,Engineering Practices – Civil and Mechanical,Biomedical Engineering,1,0,2,0,2023.0,Laboratory
226,MA23212,Differential Equations and Complex Variables,Biomedical Engineering,4,3,0,1,2023.0,Theory
227,ME23211,Engineering Mechanics for Biomedical Engineers,Biomedical Engineering,4,3,0,1,2023.0,Theory
228,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Biomedical Engineering,1,1,0,0,2023.0,Theory
229,CS23232,Fundamentals of Data Structures using C,Biomedical Engineering,5,3,4,0,2023.0,LOT
230,PH23231,Physics for Bioscience,Biomedical Engineering,4,3,2,0,2023.0,LOT
231,BM23231,Electric Circuits and Machines,Biomedical Engineering,4,3,2,0,2023.0,LOT
232,HS23222/HS23223,Technical Communication II / English for Professional Competence,Biomedical Engineering,1,0,2,0,2023.0,Laboratory
233,GE23122,Engineering Practices – Electrical and Electronics,Biomedical Engineering,1,0,2,0,2023.0,Laboratory
234,MA23312,Fourier series and Number theory,Biomedical Engineering,4,3,0,1,2023.0,Theory
235,BM23311,Human Anatomy and Physiology,Biomedical Engineering,3,3,0,0,2023.0,Theory
236,BM23312,Biomedical Instrumentation,Biomedical Engineering,3,3,0,0,2023.0,Theory
237,BM23313,Biochemical Science,Biomedical Engineering,3,3,0,0,2023.0,Theory
238,BM23331,Electronic Devices & Circuits,Biomedical Engineering,4,3,2,0,2023.0,LOT
239,BM23332,Sensors and Measurements,Biomedical Engineering,3,2,2,0,2023.0,LOT
240,BM23321,Biochemistry and Physiology Laboratory,Biomedical Engineering,2,0,4,0,2023.0,Laboratory
241,BM23322,Biomedical Instrumentation Laboratory,Biomedical Engineering,2,0,4,0,2023.0,Laboratory
242,BM23411,Analog and Digital Integrated Circuits,Biomedical Engineering,3,3,0,0,2023.0,Theory
243,BM23412,Principles of Communication Systems,Biomedical Engineering,3,3,0,0,2023.0,Theory
244,MC23111,Indian Constitution and Freedom Movement,Biomedical Engineering,0,3,0,0,2023.0,Theory
245,OE - 1,Open Elective - I,Biomedical Engineering,3,3,0,0,2023.0,Open Elective
246,MA23416,Probability and Random Process,Biomedical Engineering,4,3,0,1,2023.0,Theory
247,BM23431,Pathology and Microbiology,Biomedical Engineering,3,2,2,0,2023.0,LOT
248,CS23336,Introduction to Python Programming,Biomedical Engineering,3,1,4,0,2023.0,LOT
249,BM23421,Analog and Digital Integrated Circuits Laboratory,Biomedical Engineering,2,0,4,0,2023.0,Laboratory
250,BM23422,PCB Design Laboratory,Biomedical Engineering,1,0,2,0,2023.0,Laboratory
251,GE23421,Soft Skills – I,Biomedical Engineering,1,0,2,0,2023.0,Laboratory
252,BM23511,Biocontrol systems,Biomedical Engineering,3,3,0,0,2023.0,Theory
253,BM23512,Diagnostic and Therapeutic Equipment,Biomedical Engineering,3,3,0,0,2023.0,Theory
254,OE - 2,Open Elective - II,Biomedical Engineering,3,3,0,0,2023.0,Open Elective
255,BMPE1,Professional Elective – I,Biomedical Engineering,3,3,0,0,2023.0,Professional Elective
256,BM23531,Signals and Systems Analysis,Biomedical Engineering,3,1,2,1,2023.0,LOT
257,BM23532,Microcontroller and Embedded System Design,Biomedical Engineering,4,3,2,0,2023.0,LOT
258,CS23422,Python Programming for Machine Learning,Biomedical Engineering,3,1,4,0,2023.0,LOT
259,BM23521,Diagnostic and Therapeutic Equipment Laboratory,Biomedical Engineering,2,0,4,0,2023.0,Laboratory
260,GE23521,Soft Skills – II,Biomedical Engineering,1,0,2,0,2023.0,Laboratory
261,BM23611,Radiological Equipment,Biomedical Engineering,3,3,0,0,2023.0,Theory
262,BM23612,Biomechanics,Biomedical Engineering,4,3,0,1,2023.0,Theory
263,BMPE2,Professional Elective – II,Biomedical Engineering,3,3,0,0,2023.0,Professional Elective
264,BMPE3,Professional Elective – III,Biomedical Engineering,3,3,0,0,2023.0,Professional Elective
265,BM23631,Biosignal Processing,Biomedical Engineering,3,1,2,1,2023.0,LOT
266,BM23632,Physiological Modeling Laboratory,Biomedical Engineering,2,1,2,0,2023.0,LOT
267,BM23633,Design thinking for Innovation in Biomedical Engineering,Biomedical Engineering,2,1,2,0,2023.0,LOT
268,BM23621,Medical Industrial Training,Biomedical Engineering,1,0,2,0,2023.0,Laboratory
269,GE23621,Problem Solving Techniques,Biomedical Engineering,1,0,2,0,2023.0,Laboratory
270,BM23711,Comprehension In Biomedical Engineering,Biomedical Engineering,1,1,0,0,2023.0,Theory
271,BMPE4,Professional Elective – IV,Biomedical Engineering,3,3,0,0,2023.0,Professional Elective
272,BMPE5,Professional Elective – V,Biomedical Engineering,3,3,0,0,2023.0,Professional Elective
273,BMPE6,Professional Elective – VI,Biomedical Engineering,3,3,0,0,2023.0,Professional Elective
274,BM23731,Medical Image Processing,Biomedical Engineering,4,2,2,1,2023.0,LOT
275,BM23721,Artificial Intelligence and Machine learning for Biomedical Engineering,Biomedical Engineering,2,0,4,0,2023.0,LOT
276,BM23722,Project Work (Phase - I),Biomedical Engineering,3,0,6,0,2023.0,Laboratory
277,BM23723,Hospital Training,Biomedical Engineering,1,0,2,0,2023.0,Laboratory
278,VAP,Value Added Lab ,Biomedical Engineering,0,0,3,0,2023.0,Laboratory
